OBJECTID,LocationDesc,Bound,StartDate,StartDay,EndDate,EndDay,ADTVolume,AMVolume,AMPkHrVol,PMVolume,PMPkHrVol,ExceptType,Comment,CountID,LocationID,CountType,x,y
2320,NE SISKIYOU ST W of 11TH AVE,E,8/7/2018,WED,8/9/2018,FRI,117,18,5,99,25,Normal Weekday,ONL;Y BIKES,18080871B.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2321,NE SISKIYOU ST W of 11TH AVE,W,9/9/2018,MON,9/11/2018,WED,91,56,21,35,7,Bike Count,ONLY BIKES,18091081B.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2322,NE SISKIYOU ST W of 11TH AVE,W,8/7/2018,WED,8/9/2018,FRI,154,92,36,62,12,Normal Weekday,ONL;Y BIKES,18080871B.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2323,NE SISKIYOU ST W of 11TH AVE,E,9/9/2018,MON,9/11/2018,WED,550,123,33,427,121,Normal Weekday,WITH BIKES,18091081.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2324,NE SISKIYOU ST W of 11TH AVE,W,9/9/2018,MON,9/11/2018,WED,506,232,70,274,47,Normal Weekday,WITH BIKES,18091081.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2325,NE SISKIYOU ST W of 11TH AVE,E,9/9/2018,MON,9/11/2018,WED,504,122,32,382,107,Normal Weekday,WITHOUT BIKES,18091081A.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2326,NE SISKIYOU ST W of 11TH AVE,W,9/9/2018,MON,9/11/2018,WED,432,183,55,249,40,Normal Weekday,WITHOUT BIKES,18091081A.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2327,NE SISKIYOU ST W of 11TH AVE,E,9/9/2018,MON,9/11/2018,WED,58,6,3,52,15,Bike Count,ONLY BIKES,18091081B.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2328,NE SKIDMORE ST E of 102ND AVE,E,9/25/2018,WED,9/27/2018,FRI,237,84,17,153,22,Normal Weekday,@ 10317,18092675.VL2,LEG33839,VOLUME,-13643049.5246,5709097.284699999
2329,NE SKIDMORE ST E of 102ND AVE,W,9/25/2018,WED,9/27/2018,FRI,488,156,50,332,89,Normal Weekday,@ 10317,18092675.VL2,LEG33839,VOLUME,-13643049.5246,5709097.284699999
2330,NE SKIDMORE ST W of 102ND AVE,E,4/17/2019,THU,4/18/2019,FRI,155,53,13,102,20,Normal Weekday,@ 10018,19041881.VL2,LEG33864,VOLUME,-13643092.9567,5709097.263899997
2331,NE SKIDMORE ST W of 102ND AVE,W,4/17/2019,THU,4/18/2019,FRI,159,37,10,122,25,Normal Weekday,@ 10018,19041881.VL2,LEG33864,VOLUME,-13643092.9567,5709097.263899997
2332,NE SKIDMORE ST W of 102ND AVE,E,9/25/2018,WED,9/27/2018,FRI,163,62,17,101,22,Normal Weekday,@ 10042,18092682.VL2,LEG33864,VOLUME,-13643092.9567,5709097.263899997
2333,NE SKIDMORE ST W of 102ND AVE,W,9/25/2018,WED,9/27/2018,FRI,160,48,11,112,17,Normal Weekday,@ 10042,18092682.VL2,LEG33864,VOLUME,-13643092.9567,5709097.263899997
2334,NE SKIDMORE ST W of 33RD AVE,E,11/22/2015,MON,11/24/2015,WED,386,121,28,265,67,Normal Weekday,WITH BIKES,15112372.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2335,NE SKIDMORE ST W of 33RD AVE,W,11/22/2015,MON,11/24/2015,WED,441,157,49,284,44,Normal Weekday,WITH BIKES,15112372.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2336,NE SKIDMORE ST W of 33RD AVE,E,11/22/2015,MON,11/24/2015,WED,362,115,28,247,65,Normal Weekday,WITHOUT BIKES,15112372A.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2337,NE SKIDMORE ST W of 33RD AVE,W,11/22/2015,MON,11/24/2015,WED,415,148,46,267,40,Normal Weekday,WITHOUT BIKES,15112372A.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2338,NE SKIDMORE ST W of 33RD AVE,E,11/22/2015,MON,11/24/2015,WED,34,12,3,22,5,Bike Count,ONLY BIKES,15112372B.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2339,NE SKIDMORE ST W of 33RD AVE,W,11/22/2015,MON,11/24/2015,WED,37,16,4,21,6,Bike Count,ONLY BIKES,15112372B.VL2,LEG33742,VOLUME,-13651207.1023,5709212.062399998
2340,NE STANTON ST W of 15TH AVE,N,2/28/2018,THU,3/1/2018,FRI,240,67,19,173,43,Normal Weekday,@ 1417,18030109.VL2,LEG33916,VOLUME,-13653406.468600001,5707518.629100002
2341,NE STANTON ST W of 15TH AVE,S,2/28/2018,THU,3/1/2018,FRI,166,70,20,96,16,Normal Weekday,@ 1417,18030109.VL2,LEG33916,VOLUME,-13653406.468600001,5707518.629100002
2342,NE STANTON ST W of 7TH AVE,E,1/3/2018,THU,1/4/2018,FRI,925,154,36,771,172,Normal Weekday,@ 546,180104100.VL2,LEG34032,VOLUME,-13654310.112300001,5707544.393399999
2343,NE STANTON ST W of 7TH AVE,W,1/3/2018,THU,1/4/2018,FRI,387,164,62,223,35,Normal Weekday,@ 546,180104100.VL2,LEG34032,VOLUME,-13654310.112300001,5707544.393399999
2344,NE STANTON ST W of RODNEY AVE,E,2/11/2015,THU,2/12/2015,FRI,692,146,39,546,120,Normal Weekday,@ 73,15021208.VL2,LEG34036,VOLUME,-13654930.7005,5707546.403700002
2345,NE STANTON ST W of RODNEY AVE,W,2/11/2015,THU,2/12/2015,FRI,492,226,70,266,44,Normal Weekday,@ 73,15021208.VL2,LEG34036,VOLUME,-13654930.7005,5707546.403700002
2346,NE SUNDERLAND AVE N of LEBECK LN,N,5/7/2019,WED,5/8/2019,THU,248,96,25,152,28,Normal Weekday,@ 93765,19050815.VL2,LEG34221,VOLUME,-13651752.3193,5715016.007399999
2347,NE SUNDERLAND AVE N of LEBECK LN,S,5/7/2019,WED,5/8/2019,THU,309,130,26,179,34,Normal Weekday,@ 93765,19050815.VL2,LEG34221,VOLUME,-13651752.3193,5715016.007399999
2348,NE THOMPSON ST E of 102ND AVE,E,9/25/2018,WED,9/27/2018,FRI,158,47,8,111,17,Normal Weekday,@ 10319,18092676.VL2,LEG34383,VOLUME,-13643071.8052,5706712.948600002
2349,NE THOMPSON ST E of 102ND AVE,W,9/25/2018,WED,9/27/2018,FRI,157,73,16,84,13,Normal Weekday,@ 10319,18092676.VL2,LEG34383,VOLUME,-13643071.8052,5706712.948600002
2350,NE THOMPSON ST E of 108TH AVE,E,3/17/2019,MON,3/19/2019,WED,97,39,9,58,10,Normal Weekday,@ 10911,190318100.VL2,LEG34375,VOLUME,-13642356.8875,5706754.998800002
2351,NE THOMPSON ST E of 108TH AVE,W,3/17/2019,MON,3/19/2019,WED,90,36,10,54,9,Normal Weekday,@ 10911,190318100.VL2,LEG34375,VOLUME,-13642356.8875,5706754.998800002
2352,NE THOMPSON ST E of 108TH AVE,E,3/31/2019,MON,4/2/2019,WED,102,37,10,65,10,Normal Weekday,@ 1919,19040182.VL2,LEG34375,VOLUME,-13642356.8875,5706754.998800002
2353,NE THOMPSON ST E of 108TH AVE,W,3/31/2019,MON,4/2/2019,WED,105,41,9,64,10,Normal Weekday,@ 1919,19040182.VL2,LEG34375,VOLUME,-13642356.8875,5706754.998800002
2354,NE THOMPSON ST W of 15TH AVE,E,2/28/2018,THU,3/1/2018,FRI,492,146,54,346,58,Normal Weekday,@ 1422,18030112.VL2,LEG34350,VOLUME,-13653409.9183,5706777.880000003
2355,NE THOMPSON ST W of 15TH AVE,W,2/28/2018,THU,3/1/2018,FRI,263,100,29,163,33,Normal Weekday,@ 1422,18030112.VL2,LEG34350,VOLUME,-13653409.9183,5706777.880000003
2356,NE THOMPSON ST W of 7TH AVE,E,1/3/2018,THU,1/4/2018,FRI,375,113,32,262,60,Normal Weekday,@ 517,18010415.VL2,LEG34252,VOLUME,-13654317.6347,5706732.268600002
2357,NE THOMPSON ST W of 7TH AVE,W,1/3/2018,THU,1/4/2018,FRI,183,69,16,114,16,Normal Weekday,@ 517,18010415.VL2,LEG34252,VOLUME,-13654317.6347,5706732.268600002
2358,NE THOMPSON ST W of 7TH AVE,E,5/29/2018,WED,5/31/2018,FRI,390,83,20,307,54,Normal Weekday,@ 522,18053074.VL2,LEG34252,VOLUME,-13654317.6347,5706732.268600002
2359,NE THOMPSON ST W of 7TH AVE,W,5/29/2018,WED,5/31/2018,FRI,339,116,28,223,35,Normal Weekday,@ 522,18053074.VL2,LEG34252,VOLUME,-13654317.6347,5706732.268600002
2360,NE TILLAMOOK ST E of 102ND AVE,E,10/7/2018,MON,10/11/2018,FRI,365,105,24,260,38,Normal Weekday,@ 10323,18100881.VL2,LEG34579,VOLUME,-13643073.1953,5706572.262699999
2361,NE TILLAMOOK ST E of 102ND AVE,W,10/7/2018,MON,10/11/2018,FRI,257,116,26,141,21,Normal Weekday,@ 10323,18100881.VL2,LEG34579,VOLUME,-13643073.1953,5706572.262699999
2362,NE TILLAMOOK ST E of 12TH AVE,E,5/16/2018,THU,5/17/2018,FRI,370,101,23,269,53,Normal Weekday,WITHOUT BIKES @ 1216,18051775A.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2363,NE TILLAMOOK ST E of 12TH AVE,W,5/16/2018,THU,5/17/2018,FRI,462,173,48,289,54,Normal Weekday,WITHOUT BIKES @ 1216,18051775A.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2364,NE TILLAMOOK ST E of 12TH AVE,E,5/16/2018,THU,5/17/2018,FRI,145,8,4,137,45,Bike Count,ONLY BIKES @ 1216,18051775B.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2365,NE TILLAMOOK ST E of 12TH AVE,W,5/16/2018,THU,5/17/2018,FRI,186,98,27,88,16,Bike Count,ONLY BIKES @ 1216,18051775B.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2366,NE TILLAMOOK ST E of 12TH AVE,E,5/16/2018,THU,5/17/2018,FRI,512,107,24,405,98,Normal Weekday,WITH BIKES @ 1216,18051775.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2367,NE TILLAMOOK ST E of 12TH AVE,W,5/16/2018,THU,5/17/2018,FRI,647,270,75,377,64,Normal Weekday,WITH BIKES @ 1216,18051775.VL2,LEG34571,VOLUME,-13653706.3383,5706535.012800001
2368,NE TILLAMOOK ST E of 21ST AVE,E,7/23/2018,TUE,7/26/2018,FRI,912,260,55,652,128,Normal Weekday,@ 2157,18072480.VL2,LEG34439,VOLUME,-13652676.5034,5706530.292099997
2369,NE TILLAMOOK ST E of 21ST AVE,W,7/23/2018,TUE,7/26/2018,FRI,526,243,61,283,41,Normal Weekday,@ 2157,18072480.VL2,LEG34439,VOLUME,-13652676.5034,5706530.292099997
2370,NE TILLAMOOK ST E of 27TH AVE,E,8/5/2018,MON,8/7/2018,WED,662,144,46,518,117,Normal Weekday,WITH BIKES @ 2737,18080674.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2371,NE TILLAMOOK ST E of 27TH AVE,W,8/5/2018,MON,8/7/2018,WED,720,353,107,367,63,Normal Weekday,WITH BIKES @ 2737,18080674.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2372,NE TILLAMOOK ST E of 27TH AVE,E,8/5/2018,MON,8/7/2018,WED,444,122,38,322,60,Normal Weekday,WITHOUT BIKES @ 2737,18080674A.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2373,NE TILLAMOOK ST E of 27TH AVE,W,8/5/2018,MON,8/7/2018,WED,417,178,45,239,40,Normal Weekday,WITHOUT BIKES @ 2737,18080674A.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2374,NE TILLAMOOK ST E of 27TH AVE,E,8/5/2018,MON,8/7/2018,WED,236,29,9,207,60,Bike Count,ONLY BIKES @ 2737,18080674B.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2375,NE TILLAMOOK ST E of 27TH AVE,W,8/5/2018,MON,8/7/2018,WED,315,180,65,135,25,Bike Count,ONLY BIKES @ 2737,18080674B.VL2,LEG34569,VOLUME,-13651995.1728,5706527.251599997
2376,NE TILLAMOOK ST E of 40TH AVE,E,4/15/2018,MON,4/18/2018,THU,2499,650,153,1849,280,Normal Weekday,,180416105.VL2,LEG34453,VOLUME,-13650193.318,5706585.345899999
2377,NE TILLAMOOK ST E of 40TH AVE,W,4/15/2018,MON,4/18/2018,THU,2393,987,308,1406,208,Normal Weekday,,180416105.VL2,LEG34453,VOLUME,-13650193.318,5706585.345899999
2378,NE TILLAMOOK ST E of 43RD AVE,E,4/2/2014,THU,4/3/2014,FRI,1490,398,110,1092,164,Normal Weekday,,14040306.VL1,LEG34463,VOLUME,-13649854.4698,5706585.090300001
